City ID,City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
110,Bathsheba,40,BB,1584741781,65,13.22,-59.52,80.6,18.34
111,Manuk Mangkaw,25,PH,1584742029,78,4.8,119.85,80.82,8.28
112,Río Esteban,20,HN,1584742029,74,15.83,-86.3,84.2,11.41
113,Porbandar,16,IN,1584742029,82,21.64,69.61,75.24,7.58
114,Tiksi,12,RU,1584741779,88,71.69,128.87,-18.72,11.3
115,Emerald,0,AU,1584742029,88,-23.53,148.17,72.0,4.7
116,Kaeo,99,NZ,1584742029,76,-35.1,173.78,69.01,3.0
117,Swan Hill,72,AU,1584742029,75,-35.34,143.55,59.0,3.0
118,Wick,0,GB,1584742029,80,58.43,-3.08,37.0,9.17
119,Senador José Porfírio,100,BR,1584742029,88,-2.59,-51.95,75.24,2.24
120,Saint Paul Harbor,1,US,1584741476,60,57.79,-152.41,39.2,6.62
121,Khatanga,100,RU,1584741770,91,71.97,102.5,-11.88,16.82
122,Narsaq,20,GL,1584741779,44,60.92,-46.05,19.4,13.87
123,Havre-St-Pierre,90,CA,1584742029,99,50.23,-63.6,32.0,13.87
124,Wattegama,20,LK,1584742030,100,6.8,81.48,75.2,1.12
125,Castro,0,BR,1584741608,63,-24.79,-50.01,72.54,2.21
126,Zhigansk,88,RU,1584741772,100,66.77,123.37,-13.14,4.29
127,Hofn,100,IS,1584741770,74,64.25,-15.21,44.46,37.27
128,Mahébourg,20,MU,1584741791,83,-20.41,57.7,73.0,3.36
129,Tuatapere,100,NZ,1584741787,88,-46.13,167.68,50.0,7.0
130,Lavrentiya,69,RU,1584741763,86,65.58,-171.0,25.02,20.15
131,Ushtobe,0,KZ,1584742030,58,45.25,77.98,43.38,7.18
132,Yārāda,75,IN,1584742030,73,17.65,83.27,77.0,5.82
133,Bambous Virieux,20,MU,1584741767,83,-20.34,57.76,73.0,3.36
134,Thompson,20,CA,1584741777,32,55.74,-97.86,23.0,9.17
135,Padang,95,ID,1584742030,90,-0.95,100.35,67.32,3.78
136,Cabra,28,ES,1584741778,72,37.47,-4.44,59.0,3.36
137,Kamina,100,CD,1584742030,87,-8.74,24.99,65.16,2.04
